salary,type,link,job_name
年収480万円〜900万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466242&hid=f6c48912f118e872ffdaf6472bbfb6f10bbecaaec4fe9a58930df267649b45f9&tm=1592135779507,SE・PG／残業月10h未満／年休125日／月収40万円～
年収600万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466243&hid=544fa4c82b64d69fe62ba2761580c2372f6ce551066c6016876ac531de3e8407&tm=1592135779507,【残業時間月20h以内／退職者少／就業環境よし】リードエンジニア／スマホ広告トップ企業
年収450万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466244&hid=26cc011360486d95a5f8e7a8c1a2421d5442fbc07691cd6818068535082efb1b&tm=1592135779507,データエンジニア/自社サービス/大規模データ処理基盤の設計及び開発
月給25万円〜50万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466245&hid=6c858a1a1447a72c842ebf25a906c732d903acfb621977a387501eab0303019f&tm=1592135779507,システム開発やサーバNW構築/正社員/月給25万円～50万円/渋谷区/開発エンジニア経験者歓迎/一緒に事業拡大を目指しましょう/チャレンジしたい方歓迎/仕事No.S8461
年収270万円〜550万円,正社員,https://job.yahoo.co.jp/company/1100023080/jobs/87012701f2ea40c484c2222675aa48faa94ce825bfeb031a41a819867f25d0bd?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,《神保町駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜プログラマ(オープンWEB系)
渋谷区渋谷,年収600万円〜,https://job.yahoo.co.jp/jobs/detail/420031adf12bca82eda462eb9df3833dc398d8172a507fb9b17033c56a061ddb?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,サーバーサイドエンジニア（Java/Scala）プログラマ・システムエンジニア(オープン・WEB)正社員
…・北海道札幌市中央区北三条西・,非掲載,https://job.yahoo.co.jp/jobs/detail/9cceaa54d94ce3a4b1d96dad3a7aca94ce1281bf296e3793a62904003488e3be?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,サーバーサイドエンジニア「Scala/Ruby/Go/Node.js×AWSで開発したい」「多くの人に使われるアプリを開発したい」大歓迎です！
千代田区岩本町,正社員,https://job.yahoo.co.jp/company/1000020581/jobs/187dae5022cd4d3ba7b7883410cb72caa33f23477f06581881a2640e86b342a6?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"サーバーサイドエンジニア(Scala)：大手通信サービス会社(~1,000万円)"
"年収600万円〜1,000万円",年収500万円〜800万円,https://job.yahoo.co.jp/jobs/detail/57867d635854e5e1a36ce606052ce899be273ee3d3220a0bc579695cf93ec360?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,システムエンジニア【東京】ITスペシャリスト：高可用性を実現する技術研究開発＜テクノロジー＆イノベーション本部＞
新宿区西新宿,派遣社員,https://job.yahoo.co.jp/jobs/detail/e28cd698aaae4e4c55488810c368fd4cfaa5a3cb72829bf288c81ad387aa2bcc?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,【長期】サーバーサイドエンジニア【駅チカ】
"時給2,500円〜3,000円",正社員,https://job.yahoo.co.jp/jobs/detail/95b7ca32ac8275c59af06b195df7253cee58721ff62919b8d8cd8281613cd2ea?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,バックエンドエンジニア／年俸500万円～／私服通勤OK
年収500万円〜600万円,業務委託,https://job.yahoo.co.jp/jobs/detail/98021634c3e9bc1bb568fe821f575a2b9a73f48f5d678b91088e4cf407f9fef7?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,フリーランス|Java|Scala|経験者歓迎！B
月給65万円〜85万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466246&hid=5fc63575fde20a6b8014ec9294863f1892571f9dbdb0df6685dbce497690abb6&tm=1592135779507,《九段下駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜プログラマ(オープンWEB系)
年収270万円〜550万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466247&hid=1f92d1a22b121f448435a2211f6084c72e4e6f57657aff08631c2901df009554&tm=1592135779507,研究開発職（新サービス開発のエンジニア）
年収772万円〜950万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466248&hid=be3f8b1df27dc91e0e3f8f3bee27100e8cf8c5ba47a784d43000e6296784d33e&tm=1592135779507,【人口減少×IT】高い技術力とビジネスマインドで自社サービス開発をリードするプレイングマネージャー募集！
非掲載,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466249&hid=316cc40bf62a0507ebc6b8f71f7b2972a854180d8d3e518bf5d8d1375e7aca76&tm=1592135779507,プロダクトマネージャー~自社プロダクト「b→dash」の企画立案~
年収364万円〜780万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466250&hid=24340513c58da883d032d48b8a43b5e8cb90ef6cb03d50ef43c6e80b8c296dfe&tm=1592135779507,《水道橋駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜データベース設計構築運用保守(オープンWEB系)
