salary,type,link,job_name
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337929&hid=9bf04d58728aef5d25b993e9a02aecb5da5026e98d39eba72552d56086a0efb2&tm=1603548954536,30～40代活躍中システムエンジニアVBA取得者歓迎残業少なめ
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660288&hid=d4be2b19c3417c056732300108cd7e4a35fd6f9b71572dfd87b5ff18d3fadd5f&tm=1603548955603,20代活躍中社内PGプログラマーNetCOBOL取得者歓迎転勤なし
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660289&hid=0fa232d133f56da408103e2a91e2585e096e27613dfc14c3a46b9e7bc68e7068&tm=1603548955603,20代活躍中プログラマーNetCOBOL取得者歓迎介護休暇完備
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660290&hid=0481a20b8ec2529d03d2a5cc7a697d92885007ccff4580536294dbd3e8cb3260&tm=1603548955603,20代活躍中社内PGプログラマーAPS取得者歓迎研修充実
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660291&hid=da568889d93f2c32392a5caf0b39fbafd34268894df5289851258483a1ad7255&tm=1603548955603,30～40代活躍中社内PGプログラマーC#取得者歓迎賞与年2回
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660292&hid=bda8de02b7ed7f5cfb7fb602c48ceb20e57cd41faad0fa5936ad52b35e7ce1b1&tm=1603548955603,20代活躍中プログラマーAPS取得者歓迎財形貯蓄制度完備
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223153307660293&hid=8ad4ee80f0e640b763124146ce25aa33812b0c5ff05b7b1868d82995789e6786&tm=1603548955603,30～40代活躍中プログラマーJAVA取得者歓迎研修充実
月給22万円〜27万円,契約社員,https://job.yahoo.co.jp/company/1500123678/jobs/f363f6e0ac3097749eeb427a29607803da635c81715150c1445f745a05bf8832?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,システム担当者
月給25万円〜30万円,派遣社員,https://job.yahoo.co.jp/jobs/detail/468d5db293c98d7110daa65e4e12992330ccca8b8bada9895800ba637b9ee93d?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,web・オープン系[IT・システムエンジニア・開発・運用系/システムエンジニア（SE）・プログラマ]【コロナ対策実施中】【ウェブ面談実施中】データ加工経験者募集(^o^)／
月給28万円〜30万円,派遣社員,https://job.yahoo.co.jp/jobs/detail/18596b60a4c6310cc605775454af9585b0f842b1c1f6f37a4d2e464f5d423e79?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,その他のIT・システムエンジニア・開発・運用系[IT・システムエンジニア・開発・運用系/その他のIT・システムエンジニア・開発・運用系]【コロナ対策実施中】【ウェブ面談実施中】金融系システム運用
